TimeStamp,ChainlinkAggregate,Chainlayer,Wetez,ztake,Mycelium Node,Inotel,Sync Node,Omniscience,Alpha Chain,SNZPool,Simply VC,LinkPool,01Node,DexTrac,Prophet,Staked,PlusSign,Anyblock,LinkForest,Fiews,Framework Ventures,Staking Facilities,Blocksize Capital,T-Systems,Easy 2 stake,Kytzu,Figment Networks,Newroad Network,stake.fish,Validation Capital,P2P.org,Infinity Stones,Coincap,BraveNewCoin,CryptoCompare,AlphaVantage,CoinGecko,CoinPaprika,CoinMarketCap,,,,,
1650231019,3046.86,3046.86,3046.77,3045.70,3046.11,3046.28,3046.28,3046.31,3046.39,3046.54,3046.82,3046.85,3046.86,3046.86,3046.86,3046.95,3046.98,3046.98,3046.98,3047.77,3047.78,3052.66,3052.95,3052.95,3046.54,3046.56,3046.72,3046.72,3047.10,3047.21,3047.41,3047.49,3050.31,3054.53,3047.04,3046.42,3050.86,3045.13,3049.05,,,,,
1650231919,3046.86,3046.86,3046.77,3045.70,3046.11,3046.28,3046.28,3046.31,3046.39,3046.54,3046.82,3046.85,3046.86,3046.86,3046.86,3046.95,3046.98,3046.98,3046.98,3047.77,3047.78,3052.66,3052.95,3052.95,3046.54,3046.56,3046.72,3046.72,3047.10,3047.21,3047.41,3047.49,3056.67,3054.54,3052.73,3051.69,3051.52,3050.06,3052.87,,,,,
1650232819,3054.11,3052.60,3052.70,3052.70,3052.83,3053.03,3053.45,3053.78,3053.91,3054.05,3053.91,3053.91,3053.95,3054.05,3054.06,3054.11,3054.24,3054.30,3054.44,3054.55,3053.91,3054.68,3054.70,3054.73,3054.73,3054.73,3054.78,3054.83,3054.99,3055.55,3060.61,3054.57,3061.05,3062.24,3055.20,3054.30,3056.77,3062.09,3053.08,,,,,
1650233720,3054.11,3052.60,3052.70,3052.70,3052.83,3053.03,3053.45,3053.78,3053.91,3054.05,3053.91,3053.91,3053.95,3054.05,3054.06,3054.11,3054.24,3054.30,3054.44,3054.55,3053.91,3054.68,3054.70,3054.73,3054.73,3054.73,3054.78,3054.83,3054.99,3055.55,3060.61,3054.57,3068.74,3070.60,3074.10,3072.44,3057.44,3063.65,3060.10,,,,,
1650234625,3071.67,3063.53,3063.65,3071.67,3067.08,3067.25,3068.67,3070.17,3070.78,3063.53,3063.53,3063.53,3063.53,3072.36,3073.06,3073.30,3066.63,3069.10,3069.81,3070.17,3073.65,3072.05,3073.68,3073.76,3073.80,3073.82,3074.15,3074.17,3074.20,3074.30,3074.36,3074.38,3072.49,3079.70,3072.92,3069.86,3074.46,3080.70,3069.76,,,,,
1650235519,3071.67,3063.53,3063.65,3071.67,3067.08,3067.25,3068.67,3070.17,3070.78,3063.53,3063.53,3063.53,3063.53,3072.36,3073.06,3073.30,3066.63,3069.10,3069.81,3070.17,3073.65,3072.05,3073.68,3073.76,3073.80,3073.82,3074.15,3074.17,3074.20,3074.30,3074.36,3074.38,3063.06,3069.00,3056.92,3059.72,3064.35,3074.56,3059.54,,,,,
1650236425,3049.22,3048.43,3049.62,3049.68,3050.03,3050.03,3050.03,3050.03,3050.12,3050.58,3051.41,3053.93,3056.41,3046.57,3047.67,3048.12,3048.16,3048.51,3048.51,3048.51,3048.52,3048.71,3048.83,3048.83,3048.92,3048.96,3049.14,3049.22,3049.23,3049.52,3049.52,3056.97,3050.65,3055.43,3045.33,3045.61,3051.49,3065.29,3048.51,,,,,
1650237318,3033.63,3033.63,3030.04,3030.25,3030.95,3031.04,3032.72,3033.23,3036.28,3036.80,3036.80,3036.80,3036.80,3029.80,3031.52,3031.74,3032.14,3032.22,3032.22,3036.85,3038.91,3038.91,3038.91,3033.43,3033.63,3033.63,3033.92,3034.55,3038.91,3039.85,3045.85,3045.85,3037.93,3037.64,3027.36,3027.62,3040.23,3052.81,3033.05,,,,,
1650238220,3018.32,3018.25,3012.84,3011.44,3011.84,3012.19,3013.48,3015.00,3013.29,3015.97,3013.48,3014.44,3014.54,3026.88,3026.88,3028.17,3028.17,3028.17,3028.43,3015.00,3018.25,3020.05,3018.25,3018.32,3020.56,3021.44,3020.27,3023.82,3028.43,3031.28,3031.36,3032.45,3009.54,3023.12,2997.27,2995.00,3031.29,3005.69,3010.32,,,,,
1650239123,2998.05,2997.06,2996.73,2996.90,2996.46,2996.57,2996.73,2997.22,2996.90,2997.32,2997.22,2997.77,2997.78,2999.98,3000.29,3005.69,3007.90,3007.90,3010.66,3019.07,2996.90,2997.22,2997.77,2998.05,3000.29,3000.29,3000.93,3002.09,3002.25,3002.56,3005.47,3005.59,3001.01,3003.27,2990.67,2988.02,3000.07,3010.33,2993.49,,,,,
